turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,1,2,False,---,False,---
3,2,3,True,topic_2,False,---
4,2,4,False,---,False,---
5,2,5,False,---,False,---
6,2,6,False,---,False,---
7,2,7,False,---,False,---
8,2,8,False,---,False,---
9,2,9,False,---,False,---
10,2,10,False,---,False,---
11,2,11,False,---,False,---
12,2,12,False,---,False,---
13,2,13,False,---,False,---
14,2,14,False,---,False,---
15,2,15,False,---,False,---
16,2,16,False,---,False,---
17,2,17,False,---,False,---
18,2,18,False,---,False,---
19,2,19,False,---,False,---
20,1,20,False,---,False,---
21,1,21,False,---,False,---
22,1,22,False,---,False,---
23,1,23,False,---,False,---
24,1,24,False,---,False,---
25,1,25,False,---,False,---
26,1,26,False,---,False,---
27,1,27,False,---,False,---
28,1,28,False,---,False,---
29,1,29,False,---,False,---
30,1,30,False,---,False,---
31,2,31,True,topic_3,False,---
32,2,32,False,---,False,---
33,2,33,False,---,False,---
34,2,34,False,---,False,---
35,2,35,False,---,False,---
36,2,36,False,---,False,---
37,2,37,False,---,False,---
38,2,38,False,---,False,---
39,2,39,False,---,False,---
40,2,40,False,---,False,---
41,2,41,False,---,False,---
42,2,42,False,---,False,---
43,2,43,False,---,False,---
44,2,44,False,---,False,---
45,2,45,False,---,False,---
46,2,46,False,---,False,---
47,2,47,False,---,False,---
48,2,48,False,---,False,---
49,2,49,False,---,False,---
50,2,50,False,---,False,---
51,2,51,False,---,False,---
52,2,52,False,---,False,---
53,2,53,False,---,False,---
54,2,54,False,---,False,---
55,2,55,False,---,False,---
56,2,56,False,---,False,---
57,2,57,False,---,False,---
58,2,58,False,---,False,---
59,2,59,False,---,False,---
60,2,60,False,---,False,---
61,3,61,True,topic_4,False,---
62,3,62,False,---,False,---
63,3,63,False,---,False,---
64,3,64,False,---,False,---
65,3,65,False,---,False,---
66,3,66,False,---,False,---
67,3,67,False,---,False,---
68,3,68,False,---,False,---
69,3,69,False,---,False,---
70,3,70,False,---,False,---
71,3,71,False,---,False,---
72,3,72,False,---,False,---
73,3,73,False,---,False,---
74,3,74,False,---,False,---
75,3,75,False,---,False,---
76,3,76,False,---,False,---
77,3,77,False,---,False,---
78,3,78,False,---,False,---
79,3,79,False,---,False,---
80,3,80,False,---,False,---
81,3,81,False,---,False,---
82,3,82,False,---,False,---
83,3,83,False,---,False,---
84,3,84,False,---,False,---
85,3,85,False,---,False,---
86,3,86,False,---,False,---
87,3,87,False,---,False,---
88,3,88,False,---,False,---
89,3,89,False,---,False,---
90,3,90,False,---,False,---
91,4,91,True,topic_5,False,---
92,4,92,False,---,False,---
93,4,93,False,---,False,---
94,4,94,False,---,False,---
95,4,95,False,---,False,---
96,4,96,False,---,False,---
97,4,97,False,---,False,---
98,4,98,False,---,False,---
99,4,99,False,---,False,---
100,4,100,False,---,False,---
101,4,101,False,---,False,---
102,4,102,False,---,False,---
103,4,103,False,---,False,---
104,4,104,False,---,False,---
105,4,105,False,---,False,---
106,4,106,False,---,False,---
107,4,107,False,---,False,---
108,4,108,False,---,False,---
109,4,109,False,---,False,---
110,4,110,False,---,False,---
111,4,111,False,---,False,---
112,4,112,False,---,False,---
113,4,113,False,---,False,---
114,5,114,True,topic_6,False,---
115,5,115,False,---,False,---
116,5,116,False,---,False,---
117,5,117,False,---,False,---
118,5,118,False,---,False,---
119,5,119,False,---,False,---
120,5,120,False,---,False,---
121,5,121,False,---,False,---
