turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,1,2,False,---,False,---
3,2,3,True,topic_2,False,---
4,2,4,False,---,False,---
5,2,5,False,---,False,---
6,2,6,False,---,False,---
7,2,7,False,---,False,---
8,2,8,False,---,False,---
9,2,9,False,---,False,---
10,2,10,False,---,False,---
11,2,11,False,---,False,---
12,2,12,False,---,False,---
13,2,13,False,---,False,---
14,2,14,False,---,False,---
15,2,15,False,---,False,---
16,2,16,False,---,False,---
17,2,17,False,---,False,---
18,2,18,False,---,False,---
19,2,19,False,---,False,---
20,1,20,False,---,False,---
21,1,21,False,---,False,---
22,1,22,False,---,False,---
23,1,23,False,---,False,---
24,1,24,False,---,False,---
25,1,25,False,---,False,---
26,1,26,False,---,False,---
27,1,27,False,---,False,---
28,1,28,False,---,False,---
29,1,29,False,---,False,---
30,1,30,False,---,False,---
31,2,31,True,topic_3,False,---
32,2,32,False,---,False,---
33,2,33,False,---,False,---
34,2,34,False,---,False,---
35,2,35,False,---,False,---
