turn,event_type,topic_label,centroid_drift
1,new_node,topic_1,0.0
2,centroid_update,topic_1,35.35945129394531
3,new_node,topic_2,0.0
4,centroid_update,topic_2,40.16730499267578
5,centroid_update,topic_2,19.057024002075195
6,centroid_update,topic_2,20.468883514404297
7,centroid_update,topic_2,13.919727325439453
8,centroid_update,topic_2,10.837515830993652
9,centroid_update,topic_2,10.41592025756836
10,centroid_update,topic_2,10.738450050354004
11,centroid_update,topic_2,6.350769996643066
12,centroid_update,topic_2,7.085564613342285
13,centroid_update,topic_2,5.932746410369873
14,centroid_update,topic_2,6.082129001617432
15,centroid_update,topic_2,5.895687103271484
16,centroid_update,topic_2,6.126198768615723
17,centroid_update,topic_2,4.248059272766113
18,centroid_update,topic_2,3.9264113903045654
19,centroid_update,topic_2,4.104559421539307
20,centroid_update,topic_2,2.6370294094085693
21,centroid_update,topic_2,3.1310856342315674
22,centroid_update,topic_2,1.8740893602371216
23,centroid_update,topic_2,2.9871459007263184
24,centroid_update,topic_2,2.6362948417663574
25,centroid_update,topic_2,2.092189073562622
26,centroid_update,topic_2,2.9456591606140137
27,centroid_update,topic_2,2.1971683502197266
28,centroid_update,topic_2,2.076432228088379
29,centroid_update,topic_2,2.5794901847839355
30,centroid_update,topic_2,2.2087652683258057
31,new_node,topic_3,0.0
32,centroid_update,topic_3,50.943321228027344
33,centroid_update,topic_3,30.39925765991211
34,centroid_update,topic_3,24.260128021240234
35,centroid_update,topic_3,14.462579727172852
